	rt	mkt	smb 	hml
198607	4.28	-6.45	-3.54	4.78
198608	-7.99	6.07	-4.36	3.52
198609	-9.92	-8.6	1.97	3.19
198610	5.66	4.66	-2.33	-1.32
198611	0.21	1.17	-1.88	-0.06
198612	3.11	-3.27	0.07	0.37
198701	4.03	12.47	-1.51	-3.18
198702	-3.03	4.39	3.41	-5.99
198703	3.91	1.64	0.21	1.66
198704	5.38	-2.11	-1.55	-0.33
198705	-0.55	0.11	-0.59	0.13
198706	1.8	3.94	-2.29	1.07
198707	2.55	3.85	-1.11	0.66
198708	0.99	3.52	-0.9	-0.9
198709	2.7	-2.59	0.37	0.28
198710	-2.92	-23.24	-8.09	4.23
198711	-0.38	-7.77	2.83	3.14
198712	6.04	6.81	0.09	-4.49
198801	-9.58	4.21	-0.54	5.08
198802	-1.34	4.75	3.32	-1.65
198803	-0.02	-2.27	6.26	0.74
198804	2.02	0.56	1.12	1.69
198805	2.25	-0.29	-2.59	2.3
198806	-5.81	4.79	2.19	-1.07
198807	1.23	-1.25	-0.17	2.27
198808	0.64	-3.31	-0.02	2.03
198809	2.42	3.3	-1.31	-0.68
198810	1.18	1.15	-2.95	1.71
198811	1.95	-2.29	-1.66	1.24
198812	-0.4	1.49	2.01	-1.55
198901	-1.82	6.1	-2.23	0.51
198902	3.13	-2.25	2.67	0.87
198903	6.49	1.57	0.76	0.46
198904	3.41	4.33	-0.7	-1.45
198905	1.97	3.35	-0.01	-0.82
198906	3.07	-1.35	-1.08	2.19
198907	10.25	7.2	-4.04	-2.84
198908	1.13	1.44	0.43	0.72
198909	6.95	-0.76	0.46	-1.34
198910	5.6	-3.67	-3.33	-1.03
198911	3.85	1.03	-1.3	-1.12
198912	0.68	1.16	-2.3	0.28
199001	-2.19	-7.85	-1.33	0.87
199002	-0.64	1.11	1.18	0.61
199003	2.37	1.83	1.64	-2.9
199004	6.05	-3.36	-0.4	-2.55
199005	9.15	8.42	-2.4	-3.74
199006	4.04	-1.09	1.38	-1.94
199007	7.51	-1.9	-3.27	-0.01
199008	6.07	-10.15	-3.85	1.58
199009	7.02	-6.12	-3.78	0.73
199010	10.26	-1.92	-5.07	0.22
199011	-8.16	6.35	-0.06	-3.16
199012	2.39	2.46	0.61	-1.54
