state	year	so2	pcinc
9	33	0.07003	5580.488
9	34	0.07636	5766.816
9	35	0.07684	6073.298
9	36	0.08135	6835.77
9	37	0.08761	7043.189
9	38	0.08194	6388.186
9	39	0.08077	6977.138
9	40	0.08598	8168.896
9	41	0.09467	8780.109
9	42	0.10012	9915.134
9	43	0.1088	10233.61
9	44	0.10946	9802.103
9	45	0.10644	9260.584
9	46	0.06742	8455.724
9	47	0.09842	8241.329
9	48	0.10371	7833.333
9	49	0.06186	7627.907
9	50	0.08587	8481.818
9	51	0.07612	9163.09
9	52	0.08682	9550.42
9	53	0.07714	9966.387
9	54	0.09095	9600.823
9	55	0.07104	9967.611
9	56	0.07984	10595.24
9	57	0.08012	10746.15
9	58	0.10368	10287.88
9	59	0.10074	10444.44
9	60	0.09425	10585.45
9	61	0.09055	10942.24
9	62	0.09274	11209.22
9	63	0.09634	11328.67
9	64	0.09929	11666.67
9	65	0.10493	12077.44
9	66	0.08605	12686.27
9	67	0.0966	13439.49
9	68	0.09211	13654.43
9	69	0.09368	14123.17
9	70	0.09245	14160.11
9	71	0.05273	14000
9	72	0.02548	14505.15
9	73	0.00308	15051.22
9	74	0.01829	14789.82
9	75	0.02061	14509.2
9	76	0.01835	14959.46
9	77	0.01489	15425.99
9	78	0.02329	16031.99
9	79	0.02232	16585.78
9	80	0.01898	17044.82
9	81	0.02794	17363.75
9	82	0.02628	17631.39
9	83	0.0254	17877.03
9	84	0.02631	19081.47
9	85	0.02587	19621.91
9	86	0.0269	20494.79
9	87	0.02405	21235
9	88	0.0276	22226.49
9	89	0.02878	22459.29
9	90	0.02537	22129.68
9	91	0.02458	21641.6
9	92	0.02038	22084.21
9	93	0.01836	22186.41
9	94	0.0167	22462.49
10	29	0.05509	7320.917
10	30	0.05022	6288.889
10	31	0.04958	6320.132
10	32	0.04898	5473.29
10	33	0.04838	5443.902
10	34	0.048	5713.004
10	35	0.04762	6055.846
10	36	0.04348	7394.669
10	37	0.04725	7799.003
10	38	0.05836	6607.595
10	39	0.04942	7502.117
10	40	0.047	8507.525
10	41	0.05331	8927.739
10	42	0.05984	9016.973
10	43	0.0639	9396.496
10	44	0.06682	9220.779
10	45	0.04965	9033.989
10	46	0.06476	8385.529
10	47	0.05053	8050.806
10	48	0.0766	7634.259
10	49	0.09282	8218.605
10	50	0.10194	9240.909
10	51	0.08566	9128.755
10	52	0.12864	9331.933
10	53	0.11838	9756.303
10	54	0.16563	9423.868
10	55	0.11359	10089.07
10	56	0.11018	10841.27
10	57	0.13596	10096.15
10	58	0.23566	9992.424
10	59	0.23235	10055.56
10	60	0.20247	10160
10	61	0.19453	10151.62
10	62	0.19707	10365.25
10	63	0.20115	10646.85
10	64	0.20489	11024.05
10	65	0.21395	11717.17
10	66	0.17536	11833.33
10	67	0.18499	12114.65
10	68	0.15943	12571.87
10	69	0.15361	12961.88
10	70	0.14012	12907.3
10	71	0.13276	12973.26
10	72	0.1242	13492.27
10	73	0.09063	14085.37
10	74	0.09821	13743.36
10	75	0.09021	13451.94
10	76	0.1726	13861
10	77	0.24038	13983.75
10	78	0.10236	14168.35
10	79	0.13343	14210.2
10	80	0.16169	14504.2
10	81	0.01265	14529.56
10	82	0.01188	14637.47
10	83	0.01145	14841.07
10	84	0.01179	15334.82
10	85	0.01156	15793.77
10	86	0.01373	16188.54
10	87	0.01407	16365
10	88	0.01296	16847.41
10	89	0.014	17261.67
10	90	0.01142	17161.88
10	91	0.00942	17041.77
10	92	0.00828	17261.54
10	93	0.00926	17415.48
10	94	0.00952	17799.69
12	29	0.12874	3653.295
12	30	0.12714	3407.407
12	31	0.11518	3217.822
12	32	0.10848	2914.714
12	33	0.13014	2741.463
12	34	0.10599	3049.327
12	35	0.10912	3211.169
12	36	0.11328	3800.516
12	37	0.11236	3961.794
12	38	0.09711	3797.468
12	39	0.09802	4106.689
12	40	0.0975	4531.773
12	41	0.10737	4654.235
12	42	0.10929	5480.905
12	43	0.11105	6450.357
12	44	0.11751	6802.721
12	45	0.11857	6923.077
12	46	0.10832	6231.102
12	47	0.12341	5632.633
12	48	0.12133	5486.111
12	49	0.1013	5562.791
12	50	0.10481	5877.273
12	51	0.11311	5905.579
12	52	0.10619	6138.655
12	53	0.10702	6521.008
12	54	0.09609	6382.716
12	55	0.10064	6732.794
12	56	0.08533	7067.46
12	57	0.08414	7023.077
12	58	0.08314	7117.424
12	59	0.07982	7418.519
12	60	0.07447	7323.636
12	61	0.07336	7332.13
12	62	0.07793	7457.447
12	63	0.08226	7657.343
12	64	0.08141	8034.364
12	65	0.08728	8404.04
12	66	0.09152	8784.314
12	67	0.09053	9305.732
12	68	0.09538	9990.826
12	69	0.09625	10624.63
12	70	0.09777	11078.65
12	71	0.10154	11291.44
12	72	0.10876	11935.57
12	73	0.11941	12570.73
12	74	0.10085	12230.09
12	75	0.09142	11895.71
12	76	0.11005	12108.11
12	77	0.12085	12409.75
12	78	0.08908	13082.49
12	79	0.09458	13404.95
12	80	0.09651	13774.51
12	81	0.06655	14069.41
12	82	0.06111	13991.48
12	83	0.05798	14342.23
12	84	0.05879	14792.41
12	85	0.05659	15232.01
12	86	0.06126	15647.92
12	87	0.06844	15798
12	88	0.06865	15994.24
12	89	0.06493	16507.78
12	90	0.05937	16351.61
12	91	0.0643	16033.42
12	92	0.065	15917.41
12	93	0.06274	16424.17
12	94	0.05953	16744.78
13	29	0.0689	2449.857
13	30	0.06152	2229.63
13	31	0.05163	2070.957
13	32	0.04395	1827.554
13	33	0.0461	1951.22
13	34	0.04723	2152.466
13	35	0.04907	2303.665
13	36	0.05037	2562.339
13	37	0.05038	2558.14
13	38	0.04658	2405.063
13	39	0.04743	2574.09
13	40	0.04802	2997.492
13	41	0.05295	3209.013
13	42	0.05722	3967.468
13	43	0.06302	4652.823
13	44	0.06586	5095.857
13	45	0.06534	5199.761
13	46	0.05472	4524.838
